pos,userurl,name,rgt_teamname,vr_teamname,time_secs,delta_secs,wkg
1,/user/103369,Kader Allouni,,TEAM POCOMOTION (BLIGHTY),1200.4,0.0,3.77
2,/user/137497,Jørgen Vanbers[яʀ]a,яʀ,RASIO RACING,1200.5,0.015,3.68
3,/user/39166,Ned Bowen,,TRANSATLANTIC RAIDERS,1200.5,0.028,4.1
4,/user/112364,Stefan Kruger sanz,,TEAM SANZ,1200.5,0.028,4.35
5,/user/160071,Wouter Claes,MoonRiders,MOON RIDERS,1200.5,0.062,3.69
6,/user/106173,Hendre Knoetze sanz,,TEAM SANZ,1200.5,0.078,4.57
7,/user/78811,Christophe Contant[pdl],Pedalers,,1200.5,0.097,4.99
8,/user/199111,Niko Nikodemiak,,,1200.5,0.105,4.07
9,/user/17957,Tom Gakes [drft],,,1200.6,0.114,3.67
10,/user/155757,"Jan Linden, vd",,,1200.6,0.117,3.36
11,/user/193520,David Ellis (c) m,,,1200.6,0.124,3.82
12,/user/132783,Mathias  Bergkvist,,,1200.6,0.128,3.99
13,/user/67054,Johan Oelofse sanz,,TEAM SANZ,1200.6,0.131,4.13
14,/user/109368,Jim Ogilvie otr,OTR Racing,,1200.6,0.141,4.03
15,/user/63785,Henrik Mård [pdl],Pedalers,PEDALERS,1200.6,0.158,4.44
16,/user/143480,Mark Rowbottom яʀ,яʀ,RASIO RACING,1200.6,0.204,4.07
17,/user/36792,Francois Iker,,,1200.7,0.213,4.71
18,/user/134948,Nick Greenhalghяʀ,яʀ,RASIO RACING,1200.7,0.217,4.3
19,/user/171850,Eduardo Juez,,,1200.7,0.22,3.63
20,/user/79121,James Melville,,GLASGOW UNITED CC,1200.7,0.223,3.67
21,/user/94990,Danie  Steyn sanz,,TEAM SANZ,1200.7,0.233,3.26
22,/user/66009,Jurgen Janssens,Pedalers,PEDALERS,1200.7,0.245,4.17
23,/user/189668,Thomas Medioni,RGT France,,1200.7,0.254,3.13
24,/user/79305,Carlos Cela,,,1200.7,0.275,3.94
25,/user/225394,Ward Simons,,,1200.7,0.3,4.48
26,/user/96989,Mathieu Dupin,RGT France,,1200.8,0.325,3.67
27,/user/35315,Mike Lister,DIRT,TRANSATLANTIC RAIDERS,1200.8,0.358,4.09
28,/user/134803,Steve Mayes (m),,,1200.8,0.374,3.66
29,/user/141761,Alasdair Mcalpine,,GLASGOW UNITED CC,1200.8,0.383,4.8
30,/user/21747,Matthew Feely,,,1200.8,0.384,3.79
31,/user/168564,Marcus Garwood (o),,,1200.9,0.492,4.42
32,/user/126796,Simon Miller sdw,SDW,SOUTHBOROUGH (SDW) BEES,1201.0,0.56,3.48
33,/user/189298,Rob Miller (m),Ibex,,1201.9,1.506,3.76
34,/user/129003,Andrzej Krajewski яʀ,яʀ,RASIO RACING,1203.0,2.576,3.84
35,/user/56133,Peter Austin (bcc),,,1205.6,5.187,3.95
36,/user/61282,Daniel Neugebauer,Pedalers,PEDALERS,1208.1,7.706,4.15
37,/user/178580,Timo Achenbach,MoonRiders,MOON RIDERS,1212.3,11.897,4.46
38,/user/227118,Chris Dudley (o),,,1275.0,74.52,3.28
39,/user/175915,Kristen Ege,,TEAM POCOMOTION (VIKINGS),1275.0,74.588,3.39
40,/user/162587,Pedro Reis,,,1275.5,75.06700000000001,4.84
41,/user/87547,Nick Beale,,,1275.5,75.07,4.26
42,/user/48021,Magalhães  Daniel otr m,,,1275.6,75.121,4.19
43,/user/127225,Kenneth Vansina[pdl],Pedalers,PEDALERS,1275.6,75.125,4.06
44,/user/228203,Thijmen Cornelissens,,,1275.6,75.162,3.94
45,/user/232488,Scott  Crichton ,,,1277.6,77.21000000000001,3.23
46,/user/128814,Tim Cummins,,WESTERLEY TWO,1277.7,77.248,3.63
47,/user/193738,Biscuit Dupanne,,,1283.2,82.77,3.41
48,/user/95553,J. Sammut (a),,TEAM POCOMOTION (BLIGHTY),1288.1,87.708,3.51
49,/user/86973,David wcc Buckley wcc,,WESTERLEY ONE,1320.0,119.596,3.34
50,/user/96645,Marcin Szkudlarek,MoonRiders,MOON RIDERS,1328.7,128.265,3.76
51,/user/70138,Andrew Beale,,WESTERLEY TWO,1330.6,130.184,3.28
52,/user/183281,Chris Duffy bees,SDW,SOUTHBOROUGH (SDW) BEES,1334.2,133.788,3.25
53,/user/6305,Mike Ade,,,1335.7,135.26,3.21
