pos,userurl,name,rgt_teamname,vr_teamname,team_qualifier,westerley_pos,ladies_points,time_secs,delta_secs,wkg,country,time_human,delta_human
1,/user/192644,Erik Hellström [rgtswe],RGTSWE,,,,,1524.7,0.0,3.91,,25:24.700,00:00.000
2,/user/103369,Kader Allouni poco,Pocomotion,POCOMOTION,True,,,1527.6,2.927,4.09,UK,25:27.600,00:02.927
3,/user/160071,Wouter Claes ṀṚ,ṀṚ,MOON RIDERS 1,True,,,1527.9,3.199,4.13,Belgium,25:27.900,00:03.199
4,/user/39166,Ned Bowen,[D],,,,,1528.4,3.739,4.02,USA,25:28.400,00:03.739
5,/user/129551,Igor Kopse,VirtuSlo,,,,,1529.4,4.729,4.37,,25:29.400,00:04.729
6,/user/126963,Miles Askew [ṀṚ],ṀṚ,MOON RIDERS 1,True,,,1529.4,4.767,4.4,,25:29.400,00:04.767
7,/user/198726,Mario  Cavelius [ЯƦ],яʀ,,,,,1529.7,5.057,3.92,,25:29.700,00:05.057
8,/user/621,Jared Millar b,,,,,,1530.1,5.469,4.28,,25:30.100,00:05.469
9,/user/132783,Mathias  Bergkvist,,,,,,1530.2,5.537,3.99,Sweden,25:30.200,00:05.537
10,/user/134948,Nick Greenhalgh [ЯƦ] c,яʀ,RASIO RACING,True,1,,1530.3,5.589,4.14,UK,25:30.300,00:05.589
11,/user/95553,John Sammut (a),Pocomotion,POCOMOTION,True,,,1530.3,5.64,4.12,UK,25:30.300,00:05.640
12,/user/171135,Tomasz Poniatowski [ṀṚ],ṀṚ,MOON RIDERS 1,False,,,1530.3,5.667,3.23,Poland,25:30.300,00:05.667
13,/user/17957,Tom Gakes [d],[D],,,,,1530.4,5.7,3.77,Netherlands,25:30.400,00:05.700
14,/user/270710,Jack Samways[wvs],,WATFORD VELO SPORT RT,True,,,1531.6,6.942,4.26,,25:31.600,00:06.942
15,/user/79121,James Melville,,GLASGOW UNITED CC,True,,,1532.1,7.394,4.17,UK,25:32.100,00:07.394
16,/user/79305,Carlos Cela,,,,,,1532.1,7.429,4.08,Espana,25:32.100,00:07.429
17,/user/143480,Mark Rowbottom яʀ,яʀ,RASIO RACING,True,,,1532.1,7.474,4.31,UK,25:32.100,00:07.474
18,/user/150787,Paul Hindson,,,,,,1532.2,7.573,3.81,,25:32.200,00:07.573
19,/user/155757,Jan Linden poco,Pocomotion,POCOMOTION,False,,,1533.2,8.587,4.22,Netherlands,25:33.200,00:08.587
20,/user/229031,Kasper Hededam,TRM,,,,,1542.1,17.391,4.51,Danmark,25:42.100,00:17.391
21,/user/267104,Simon  Hall [wvs],,WATFORD VELO SPORT RT,True,,,1546.3,21.669,4.65,,25:46.300,00:21.669
22,/user/264656,Alberto Faustino,,,,,,1576.9,52.252,5.11,,26:16.900,00:52.252
23,/user/185830,James Currie sdw b,SDW,SOUTHBOROUGH (SDW) BEES,True,,,1632.0,107.326,3.25,,27:12.000,01:47.326
24,/user/70138,Andrew Beale c,We,WESTERLEY TWO,True,2,,1634.3,109.614,3.58,UK,27:14.300,01:49.614
25,/user/186271,David Kent (d),,,,,,1634.6,109.928,3.33,,27:14.600,01:49.928
26,/user/141761,Alasdair Mcalpine,,GLASGOW UNITED CC,True,,,1634.6,109.962,4.82,UK,27:14.600,01:49.962
27,/user/174963,Christian  Okulla poco,Pocomotion,,,,,1634.8,110.132,4.58,,27:14.800,01:50.132
28,/user/306628,Timothy Richardson,,,,,,1634.9,110.23400000000001,4.21,,27:14.900,01:50.234
29,/user/129003,Andrzej Krajewski ЯƦ,яʀ,,,,,1635.3,110.649,3.55,Poland,27:15.300,01:50.649
30,/user/96645,Marcin Szkudlarek [ṀṚ],ṀṚ,SATELITE RIDERS,True,,,1637.5,112.81700000000001,3.49,Poland,27:17.500,01:52.817
31,/user/94149,James Dicks,,,,,,1640.7,116.06,4.58,,27:20.700,01:56.060
32,/user/141031,Kevan Unsworth,,TEAM CAMERON,True,,,1692.7,168.007,2.65,UK,28:12.700,02:48.007
33,/user/143668,Stu Thorn,,,,,,1692.8,168.133,3.67,,28:12.800,02:48.133
34,/user/249688,Pat Herron,,,,,,1694.3,169.631,4.18,UK,28:14.300,02:49.631
35,/user/293466,Ingmar Van bers [яʀ],Ra,,,,,1695.0,170.32,3.93,,28:15.000,02:50.320
36,/user/186736,Ed Taylor (m),,,,,,1695.4,170.777,3.26,,28:15.400,02:50.777
37,/user/86973,David wcc Buckley wcc,,WESTERLEY ONE,True,3,,1695.6,170.918,3.06,UK,28:15.600,02:50.918
38,/user/198978,Harry Smits (e),,,,,,1696.3,171.617,3.86,,28:16.300,02:51.617
39,/user/91958,Gt Thakkar,,WESTERLEY ONE,True,4,,1701.9,177.246,3.13,UK,28:21.900,02:57.246
40,/user/301698,Gail Rob (tcc),,,,,,1728.8,204.096,4.08,,28:48.800,03:24.096
41,/user/270702,Stuart Gillies tcc,,TWICKENHAM CC,True,,,1730.2,205.541,3.14,,28:50.200,03:25.541
42,/user/121178,Martin  Jones,,,,,,1731.3,206.644,3.23,,28:51.300,03:26.644
43,/user/55374,Andrew Goff,ṀṚ,SATELITE RIDERS,True,,,1873.5,348.876,3.32,,31:13.500,05:48.876
44,/user/101319,Martin Wilson,,,,,,1895.6,370.924,3.0,UK,31:35.600,06:10.924
45,/user/232622,Grant  Watson ,,,,,,1900.6,375.928,2.44,,31:40.600,06:15.928
46,/user/278058,Claire  Miller (tcc),,TWICKENHAM CC LADIES,True,,100,1900.6,375.98199999999997,3.64,,31:40.600,06:15.982
47,/user/123417,Mike Buckhurst,,,,,,1900.9,376.193,2.8,USA,31:40.900,06:16.193
48,/user/288803,Rob Gilmour,,,,,,1914.2,389.579,3.19,,31:54.200,06:29.579
49,/user/299635,Jurjen Baaijen,,,,,,1914.9,390.273,3.08,,31:54.900,06:30.273
50,/user/309485,Tony Sinnett,,,,,,1967.6,442.941,2.77,,32:47.600,07:22.941
51,/user/289203,Rick Van der laan,,,,,,2036.9,512.237,2.76,,33:56.900,08:32.237
52,/user/95813,Lisa West tcc,,TWICKENHAM CC LADIES,True,,94,2059.7,535.019,2.14,,34:19.700,08:55.019
53,/user/66324,Gavin Grant tcc,,TWICKENHAM CC,True,,,2061.9,537.255,2.07,,34:21.900,08:57.255
54,/user/319736,Brenda Bustamante,,,,,,2108.5,583.869,2.6,,35:08.500,09:43.869
55,/user/43482,Coco Maisie,,,,,,2135.9,611.226,1.89,,35:35.900,10:11.226
56,/user/295671,Oliver Bongard,,,,,,2137.8,613.138,2.22,,35:37.800,10:13.138
57,/user/291095,Wright Jessica ,,,,,,2207.9,683.249,2.16,,36:47.900,11:23.249
58,/user/3964,L.  rowland (tcc),,TWICKENHAM CC LADIES,False,,88,2208.1,683.41,2.08,,36:48.100,11:23.410
59,/user/77406,Pj Tcc,,,,,,2209.0,684.356,2.0,,36:49.000,11:24.356
60,/user/222373,Gary Stent,,,,,,2288.7,764.0,1.57,,38:08.700,12:44.000
61,/user/283647,Claire Thompson tcc,,TWICKENHAM CC LADIES,False,,85,2513.7,989.048,2.05,,41:53.700,16:29.048
,,Ewan Thompson,,,,,,,,,,,
,,Shihaam Nizam,,,,,,,,,,,
,/user/148716,Stuart Hardy [wlc],WahooLeCol,,,,,,,,UK,,
,/user/128814,Tim Cummins,,WESTERLEY ONE,False,5,,,,,UK,,
,/user/397,Jeff Rooney [nzbro],,,,,,,,,,,
,/user/275798,ToÑi Infantes,,,,,,,,,,,
,/user/221770,Rafael Nunez,,,,,,,,,,,
,/user/165681,Judith Newton (w),,,,,,,,,,,
,/user/34519,Eddie Ryce,,,,,,,,,,,
,,Mitja Lavric,,,,,,,,,,,
,,Ricardo Canton,,,,,,,,,,,
,/user/265276,Robert  Guerrero,,,,,,,,,,,
,/user/202732,Kara Bonneau,,,,,,,,,,,
,,Wim Ca,,,,,,,,,,,
,/user/138802,David Thomas,,,,,,,,,UK,,
,,Jose Comeche,,,,,,,,,,,
,/user/301445,Harry Savell (wvs),,,,,,,,,,,
,,Raghu  Reddy,,,,,,,,,,,
,/user/93030,Jacek Rorbach,,,,,,,,,,,
,,Hubert  Li,,,,,,,,,,,
,/user/21747,Matthew Feely,,,,,,,,,Eire,,
,/user/239903,Miguel Silva(o),,,,,,,,,,,
,/user/219215,Kaustav Bhattacharya,,,,,,,,,,,
,/user/179904,Ivan Vujic,,,,,,,,,,,
,/user/221746,Tom Yates-ijaz,,WESTERLEY TWO,False,6,,,,,UK,,
,/user/240437,Carlo  Calcagni ,,,,,,,,,,,
